"Species","sampleYear","annualCount","DataSource","LocationID","RunType","SASAP.Region","Lat","Lon","AWC_CODE","location_source","Flag"
"chinook","1991","551","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","1992","490","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","1994","1372","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","1995","1010","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","1996","1039","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","1997","931","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","1998","2900","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","1999","2431","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2000","3789","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2001","5543","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2002","4349","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2003","3253","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2004","6282","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2005","3193","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2006","1701","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2007","2492","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2008","4612","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2009","1248","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2010","2569","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2011","1404","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2012","992","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2013","1221","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2014","2901","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2015","2440","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","2016","4618","ADFG","Nelson River",NA,"Alaska Peninsula and Aleutian Islands","55.81052","-161.2565","313-30-10140-2013","",NA
"chinook","1991","50","ADFG","Orzinski River",NA,"Alaska Peninsula and Aleutian Islands","55.73100","-160.0934","281-31-10300","",NA
"chinook","1999","2","ADFG","Orzinski River",NA,"Alaska Peninsula and Aleutian Islands","55.73100","-160.0934","281-31-10300","",NA
"chinook","2001","2","ADFG","Orzinski River",NA,"Alaska Peninsula and Aleutian Islands","55.73100","-160.0934","281-31-10300","",NA
"chinook","2003","1","ADFG","Orzinski River",NA,"Alaska Peninsula and Aleutian Islands","55.73100","-160.0934","281-31-10300","",NA
"chinook","2004","1","ADFG","Orzinski River",NA,"Alaska Peninsula and Aleutian Islands","55.73100","-160.0934","281-31-10300","",NA
"chinook","1994","262","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","1995","90","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
"chinook","1996","48","ADFG","Sandy River",NA,"Alaska Peninsula and Aleutian Islands","56.21630","-160.0550","315-12-10100","",NA
